Substrate,ECNumber,Organism_ID_sabio,kcat
ADP,2.7.1.11,1422,3.2
ADP,2.7.2.1,2210,2680.0
ADP,2.5.1.27,3486,0.02383333
ADP,2.7.1.40,3702,95000.0
ADP,3.1.3.2,3847,100.0
ADP,3.1.3.2,3885,530.0
ADP,3.1.3.2,4120,310.0
ADP,2.7.3.3,6850,180.0
ADP,2.7.1.40,9606,355.0
ADP,2.7.2.3,9606,6000.0
ADP,2.7.3.2,9606,467.3333
ADP,3.1.3.2,9606,73.0
ADP,3.6.1.15,9606,0.0051
ADP,2.7.2.3,10116,33.13333
ADP,3.6.1.53,10116,4.4
ADP,2.7.1.40,83333,160.0
ADP,2.7.4.1,83333,10.5
ADP,6.3.4.14,83333,0.005166667
ADP,6.3.5.5,83333,0.36
ADP,2.7.1.147,186497,3500.0
ADP,6.2.1.13,186497,203.0
ADP,2.7.1.40,196627,2540.0
ADP,6.2.1.13,224325,95.0
ADP,2.7.2.2,226185,730.0
ADP,2.7.2.3,294381,984.0
ADP,2.7.1.40,559292,195.0
ADP,2.7.2.3,559292,58.6
ADP,4.1.1.49,559292,36.0
ADPribose,3.6.1.13,1471,129.1
ADPribose,3.6.1.13,3702,0.12
ADPribose,3.6.1.13,9606,5.5
ADPribose,3.6.1.53,10116,12.8
ADPribose,3.6.1.13,262724,5.7
ADPribose,3.6.1.13,300852,10.65
AMP,2.5.1.27,3486,0.008283333
AMP,2.7.4.3,3702,3.66
AMP,3.1.3.2,3847,74.0
AMP,3.1.3.2,4120,230.0
AMP,2.7.9.1,4577,40.33333
AMP,3.1.3.5,7227,0.28
AMP,2.7.4.3,9031,650.0
AMP,2.7.4.3,9606,151.6667
AMP,3.1.3.5,9606,0.04
AMP,2.7.4.3,9986,17.0
AMP,3.1.3.2,83333,23.0
AMP,3.1.3.5,83333,750.0
AMP,2.7.9.2,186497,12.6
AMP,2.7.4.3,224308,0.05333333
AMP,2.7.9.1,294381,87.0
ATP,2.7.2.4,274,25.0
ATP,6.1.1.12,274,2.7
ATP,6.1.1.9,274,6.7
ATP,6.1.1.5,294,4.2627
ATP,2.7.1.29,546,17.5
ATP,2.7.1.71,556,35.0
ATP,6.1.1.1,920,7.7
ATP,6.3.1.2,1164,42.0
ATP,4.6.1.1,1167,0.1166667
ATP,2.7.1.113,1280,0.57
ATP,2.7.1.21,1280,1.48
ATP,2.7.1.76,1280,1.82
ATP,2.7.1.95,1351,3.97
ATP,6.3.2.4,1352,4.916667
ATP,2.7.1.11,1422,41.7
ATP,6.1.1.1,1422,8.0
ATP,6.1.1.9,1422,18.1
ATP,2.5.1.17,1598,0.038
ATP,6.1.1.26,2208,0.1
ATP,2.7.2.1,2210,1278.0
ATP,2.7.2.3,2262,915.96
ATP,2.5.1.27,3486,0.02716667
ATP,2.7.1.26,3702,0.583
ATP,2.7.1.43,3702,8.5
ATP,2.7.2.4,3702,23.4
ATP,2.7.4.3,3702,3.66
ATP,2.7.4.8,3702,3.9
ATP,3.6.1.5,3702,0.03766667
ATP,6.2.1.3,3702,19.87
ATP,6.3.1.2,3702,7.1
ATP,6.3.2.2,3702,0.1133333
ATP,6.3.2.52,3702,0.07333333
ATP,6.3.3.2,3702,5.333333
ATP,3.1.3.2,3847,65.0
ATP,3.1.3.2,3885,2700.0
ATP,2.7.4.6,3888,147.0
ATP,2.7.1.1,4108,5.01
ATP,2.7.7.27,4113,205.0
ATP,3.1.3.2,4120,980.0
ATP,2.7.7.27,4577,205.0
ATP,2.7.9.1,4577,43.66667
ATP,2.7.7.4,5076,24.4
ATP,6.3.1.8,5656,4.2
ATP,6.3.1.9,5656,8.7
ATP,2.7.1.20,5661,1.433333
ATP,2.7.2.11,5661,13.5
ATP,6.3.4.3,5664,4.4
ATP,2.7.1.1,5665,1899.467
ATP,2.7.1.1,5691,483.3333
ATP,6.3.1.9,5691,5.2
ATP,2.7.1.1,5693,1136.0
ATP,2.7.1.11,5702,196.0
ATP,2.7.1.1,5759,284.0
ATP,2.7.1.1,5811,3.47
ATP,2.7.1.145,7227,27.0
ATP,5.6.2.2,7227,0.1083333
ATP,2.7.11.14,7955,0.86
ATP,2.7.4.3,9031,650.0
ATP,6.4.1.2,9031,36.8
ATP,2.7.1.1,9606,69.7
ATP,2.7.1.105,9606,0.17
ATP,2.7.1.153,9606,7.5
ATP,2.7.1.17,9606,35.0
ATP,2.7.1.2,9606,117.4
ATP,2.7.1.21,9606,0.71
ATP,2.7.1.24,9606,14.2
ATP,2.7.1.3,9606,11.1
ATP,2.7.1.32,9606,83.1
ATP,2.7.1.59,9606,116.8
ATP,2.7.1.6,9606,8.7
ATP,2.7.1.74,9606,0.74
ATP,2.7.1.91,9606,85.0
ATP,2.7.10.2,9606,2.0
ATP,2.7.11.1,9606,1.983333
ATP,2.7.11.10,9606,0.7152778
ATP,2.7.11.14,9606,1.2
ATP,2.7.2.3,9606,0.015
ATP,2.7.3.2,9606,160.5
ATP,2.7.4.14,9606,150.0
ATP,2.7.4.21,9606,0.0038
ATP,2.7.4.3,9606,151.6667
ATP,2.7.7.1,9606,53.9
ATP,2.7.7.18,9606,53.9
ATP,2.7.7.2,9606,0.0036
ATP,2.7.7.3,9606,13.5
ATP,2.7.7.4,9606,0.5
ATP,2.7.7.84,9606,7.2
ATP,3.1.3.2,9606,119.0
ATP,3.6.1.15,9606,0.0086
ATP,3.6.1.5,9606,0.0825
ATP,3.6.4.13,9606,0.004166667
ATP,5.6.1.1,9606,3.83
ATP,6.1.1.14,9606,0.31
ATP,6.1.1.19,9606,8.9
ATP,6.1.1.4,9606,0.82
ATP,6.1.1.6,9606,0.31
ATP,6.3.4.16,9606,4.45
ATP,6.4.1.2,9606,11.8
ATP,7.6.2.5,9606,0.12
ATP,3.6.1.5,9615,0.0012
ATP,3.6.1.5,9823,860.0
ATP,2.7.7.19,9913,22.78
ATP,2.7.3.2,9986,104.0
ATP,2.7.4.3,9986,17.0
ATP,5.6.1.8,9986,12.3
ATP,7.2.2.10,9986,140.0
ATP,6.1.1.19,10029,28.0
ATP,6.1.1.6,10029,6.3
ATP,2.7.1.14,10090,115.0
ATP,2.7.1.2,10090,53.2
ATP,2.7.11.24,10090,31.6
ATP,2.7.4.21,10090,0.0163
ATP,2.7.7.1,10090,20.0
ATP,2.7.7.84,10090,0.39
ATP,3.6.1.9,10090,16.0
ATP,7.6.2.2,10090,0.008333333
ATP,2.7.1.105,10116,0.092
ATP,2.7.2.3,10116,9.133333
ATP,6.3.4.16,10116,4.983333
ATP,6.4.1.2,10116,11.6
ATP,2.7.1.113,44101,0.61
ATP,2.7.1.74,44101,1.23
ATP,2.7.1.76,44101,1.48
ATP,2.7.1.107,44689,0.2
ATP,2.7.1.113,44689,3.0
ATP,2.7.1.21,44689,7.5
ATP,2.7.1.76,44689,3.7
ATP,2.7.4.14,44689,410.0
ATP,1.3.7.8,59405,1.6
ATP,6.2.1.30,59406,40.0
ATP,2.7.1.169,69014,1.56
ATP,2.7.1.33,69014,0.21
ATP,6.1.1.12,69014,0.061
ATP,2.7.7.1,71421,0.92
ATP,6.2.1.33,72586,54.0
ATP,2.7.2.3,76981,540.0
ATP,2.7.1.71,83331,44.0
ATP,6.3.2.1,83331,3.4
ATP,2.7.1.33,83332,0.411
ATP,2.7.1.71,83332,44.0
ATP,2.7.4.25,83332,52.0
ATP,2.7.4.9,83332,4.5
ATP,2.7.6.5,83332,24.68
ATP,3.6.1.8,83332,0.8066667
ATP,3.6.5.4,83332,0.007
ATP,6.3.2.1,83332,3.4
ATP,6.3.4.2,83332,22.9
ATP,2.3.1.193,83333,0.0295
ATP,2.5.1.6,83333,1.5
ATP,2.7.1.11,83333,140.0
ATP,2.7.1.165,83333,2.5
ATP,2.7.1.170,83333,116.6667
ATP,2.7.1.2,83333,410.0
ATP,2.7.1.23,83333,125.0
ATP,2.7.1.33,83333,1.14
ATP,2.7.1.39,83333,29.1
ATP,2.7.1.4,83333,14.0
ATP,2.7.1.55,83333,47.0
ATP,2.7.1.59,83333,9.2
ATP,2.7.1.6,83333,0.5
ATP,2.7.1.60,83333,83.0
ATP,2.7.2.4,83333,13.2
ATP,2.7.4.25,83333,108.0
ATP,2.7.4.9,83333,10.5
ATP,2.7.7.59,83333,1.075
ATP,2.7.8.37,83333,20.0
ATP,2.8.1.4,83333,0.145
ATP,6.1.1.1,83333,0.74
ATP,6.1.1.12,83333,6.8
ATP,6.1.1.15,83333,70.0
ATP,6.1.1.16,83333,141.9
ATP,6.1.1.17,83333,9.6
ATP,6.1.1.18,83333,2.616667
ATP,6.1.1.2,83333,111.0
ATP,6.1.1.21,83333,142.0
ATP,6.1.1.3,83333,90.0
ATP,6.1.1.4,83333,5.1
ATP,6.1.1.9,83333,51.0
ATP,6.3.1.2,83333,50.0
ATP,6.3.2.10,83333,18.0
ATP,6.3.2.12,83333,0.4166667
ATP,6.3.2.8,83333,11.68
ATP,6.3.2.9,83333,6.716667
ATP,6.3.3.3,83333,0.06216667
ATP,6.3.4.14,83333,1.23
ATP,6.3.4.18,83333,26.4
ATP,6.3.4.2,83333,13.7
ATP,6.3.5.5,83333,5.6
ATP,6.1.1.16,83334,141.9
ATP,6.1.1.21,83334,130.0
ATP,6.1.1.3,83334,90.0
ATP,2.7.1.33,85962,2.09
ATP,3.6.1.3,85962,0.155
ATP,2.7.1.225,93061,0.2383333
ATP,2.7.1.33,93061,329.0
ATP,2.7.1.59,94122,7.1
ATP,2.7.2.15,99287,125.0
ATP,2.7.7.1,99287,0.26
ATP,6.2.1.1,99287,276.8
ATP,2.7.3.3,133901,6.74
ATP,2.7.4.22,170187,175.0
ATP,6.2.1.n2,176299,2.3
ATP,2.7.9.2,186497,1573.0
ATP,6.2.1.13,186497,89.0
ATP,2.7.7.1,187420,10.0
ATP,6.1.1.15,187420,6.9
ATP,2.7.3.13,192222,2.5
ATP,6.3.1.15,193462,0.515
ATP,6.1.1.17,197221,0.1
ATP,6.1.1.16,199310,141.9
ATP,6.1.1.21,199310,130.0
ATP,6.1.1.3,199310,90.0
ATP,3.6.1.3,203119,0.4166667
ATP,2.7.1.209,218491,2.76
ATP,2.7.1.113,224308,1.53
ATP,2.7.1.23,224308,8.0
ATP,2.7.1.33,224308,2.12
ATP,2.7.1.35,224308,0.032
ATP,2.7.1.49,224308,0.36
ATP,2.7.11.1,224308,0.0054
ATP,2.7.4.3,224308,0.05333333
ATP,6.1.1.17,224308,0.05
ATP,6.1.1.2,224308,0.9
ATP,6.1.1.24,224308,0.07
ATP,6.1.1.15,224324,15.0
ATP,6.2.1.13,224325,150.0
ATP,6.1.1.15,224326,5.8
ATP,6.2.1.n2,224911,1.5
ATP,2.7.2.2,226185,92.0
ATP,6.3.2.4,226185,4.1
ATP,2.7.1.59,237561,107.8
ATP,6.1.1.15,243230,32.0
ATP,2.7.1.23,243232,424.0
ATP,2.7.1.39,243232,28.0
ATP,2.7.1.71,243232,57.0
ATP,3.6.1.9,243232,1.02
ATP,6.1.1.1,243232,0.15
ATP,6.1.1.15,243232,63.0
ATP,6.1.1.27,243232,1.0
ATP,2.7.1.21,243274,0.4
ATP,2.7.1.33,243274,0.29
ATP,3.6.1.8,246196,0.7
ATP,6.3.1.13,246196,9.4
ATP,6.1.1.15,258594,14.0
ATP,2.7.2.3,264203,450.0
ATP,6.2.1.17,267608,6.8
ATP,6.3.5.12,269797,0.01718333
ATP,6.1.1.15,269798,19.0
ATP,2.7.1.2,272557,30.0
ATP,6.3.4.2,272623,6.4
ATP,6.3.3.2,272634,1.0
ATP,6.3.2.2,272843,25.3
ATP,6.3.2.3,272843,36.3
ATP,6.2.1.36,273063,8.0
ATP,6.1.1.15,279238,26.0
ATP,2.7.2.3,294381,136.0
ATP,2.7.9.1,294381,15.0
ATP,6.1.1.12,300852,0.24
ATP,6.1.1.15,300852,35.0
ATP,6.1.1.17,300852,2.1
ATP,6.3.2.43,300852,5.2
ATP,6.3.2.7,301447,9.0
ATP,2.7.1.215,359391,230.0
ATP,2.7.1.13,381666,10.2
ATP,6.2.1.36,399549,23.0
ATP,2.7.13.3,404589,0.02166667
ATP,2.7.1.2,419947,108.0
ATP,6.1.1.15,499177,60.0
ATP,2.7.2.3,523846,338.86
ATP,1.2.1.95,559292,41.66667
ATP,2.7.1.1,559292,63.1
ATP,2.7.1.11,559292,210.0
ATP,2.7.1.2,559292,0.0721
ATP,2.7.2.3,559292,606.7
ATP,2.7.2.4,559292,469.3
ATP,2.7.7.4,559292,0.86
ATP,3.6.1.3,559292,20.0
ATP,3.6.1.5,559292,0.011
ATP,3.6.4.10,559292,1.266667
ATP,3.6.4.13,559292,5.666667
ATP,4.1.1.33,559292,4.9
ATP,4.1.1.49,559292,37.0
ATP,6.1.1.12,559292,27.0
ATP,6.1.1.15,559292,5.6
ATP,6.1.1.17,559292,4.4
ATP,6.4.1.1,559292,59.5
ATP,3.6.4.13,574961,0.2666667
Acenaphthen-1-ol,1.1.1.213,9606,0.585
Acenaphthen-1-ol,1.3.1.20,9606,0.585
Acenaphthenequinone,1.1.1.209,10090,0.5833333
Acetaldehyde,1.1.1.1,9544,74.0
Acetaldehyde,1.1.1.1,9606,58.4
Acetaldehyde,1.1.1.21,9606,1.85
Acetaldehyde,1.2.1.3,9606,7.0
Acetaldehyde,1.2.1.36,9606,0.27
Acetaldehyde,1.2.1.5,9606,36.0
Acetaldehyde,1.1.1.1,9796,360.0
Acetaldehyde,1.1.1.1,10116,2.833333
Acetaldehyde,1.2.1.3,10116,0.41
Acetaldehyde,1.2.1.4,29320,0.75
Acetaldehyde,1.2.1.26,62977,0.41
Acetaldehyde,1.2.1.39,76114,6.0
Acetaldehyde,1.2.1.10,266265,17.2
Acetaldehyde,4.1.3.39,266265,1.04
Acetaldehyde,1.1.1.1,284590,1143.333
Acetaldehyde,1.2.1.10,300852,7.4
Acetaldehyde,1.1.1.1,559292,176.0
Acetaldehyde,1.2.1.4,559292,63.0
Acetamide,3.5.1.4,208964,21.83
Acetate,2.8.3.18,435,290.0
Acetate,2.7.2.1,2210,1278.0
Acetate,2.7.2.15,99287,125.0
Acetate,6.2.1.1,99287,276.8
Acetate,6.2.1.13,186497,121.0
Acetate,6.2.1.13,224325,150.0
Acetate,6.2.1.17,267608,6.8
Acetoacetate,2.8.3.18,435,37.0
Acetoacetyl-CoA,1.1.1.100,9606,4.0
Acetoacetyl-CoA,1.1.1.35,9606,37.0
Acetoacetyl-CoA,2.3.1.9,9606,21.0
Acetoacetyl-CoA,2.3.1.16,83332,4.8
Acetoacetyl-CoA,1.1.1.35,83333,382.0
Acetoacetyl-CoA,2.3.1.16,83333,104.0
Acetoacetyl-CoA,1.1.1.36,246196,1.14
Acetoacetyl-CoA,2.3.1.9,352475,465.0
Acetoin,1.1.1.10,9606,0.65
Acetoin,1.1.1.10,10036,6.9
Acetoin,1.1.1.10,10090,3.0
Acetoin,1.1.1.10,10116,5.6
Acetoin,1.1.1.10,10141,6.9
Acetoin,1.1.1.156,51453,21.0
Acetoin,1.1.1.72,51453,11.0
Acetoin,1.1.1.4,559292,1633.333
Acetone,1.1.1.1,191545,6.83
Acetone,1.1.1.1,273057,0.3166667
Acetone cyanohydrin,4.1.2.47,3981,65.0
Acetophenone,1.14.13.84,294,13.2
Acetophenone,1.1.1.311,76114,1.6
Acetosyringone,1.10.3.2,5325,50.0
Acetosyringone,1.10.3.2,224308,2.0
Acetyl phosphate,2.3.1.8,2210,5252.0
Acetyl phosphate,2.7.2.1,2210,2680.0
Acetyl phosphate,3.6.1.7,9913,181.0
Acetyl phosphate,2.3.1.8,83333,227.6
Acetyl-CoA,2.8.3.18,435,75.2
Acetyl-CoA,2.3.1.226,555,0.043
Acetyl-CoA,2.3.1.209,562,155.3
Acetyl-CoA,2.3.1.39,1423,0.13
Acetyl-CoA,3.1.2.23,1667,0.0108
Acetyl-CoA,2.3.1.30,3562,212.0
Acetyl-CoA,2.3.1.30,3702,330.0
Acetyl-CoA,2.3.1.74,3879,0.003166667
Acetyl-CoA,6.4.1.2,9031,36.8
Acetyl-CoA,2.3.1.255,9606,3.333333
Acetyl-CoA,2.3.1.4,9606,22.1
Acetyl-CoA,2.3.1.6,9606,99.6
Acetyl-CoA,2.3.1.85,9606,2.666667
Acetyl-CoA,2.3.1.9,9606,3.5
Acetyl-CoA,2.7.8.7,9606,0.24
Acetyl-CoA,3.1.2.20,9606,0.054
Acetyl-CoA,6.4.1.2,9606,11.8
Acetyl-CoA,2.3.3.1,9823,96.0
Acetyl-CoA,2.3.1.87,9940,34.0
Acetyl-CoA,2.3.3.1,10116,216.6667
Acetyl-CoA,6.4.1.2,10116,11.6
Acetyl-CoA,2.3.1.224,36903,17.5
Acetyl-CoA,2.3.3.16,56673,18.0
Acetyl-CoA,2.3.1.30,71421,1080.0
Acetyl-CoA,2.3.1.31,71421,5.0
Acetyl-CoA,2.3.3.13,83331,10.7
Acetyl-CoA,2.3.1.1,83332,3.333333
Acetyl-CoA,2.3.3.13,83332,10.7
Acetyl-CoA,2.3.1.157,83333,1500.0
Acetyl-CoA,2.3.1.30,83333,2480.0
Acetyl-CoA,2.3.1.8,83333,29.6
Acetyl-CoA,2.3.3.1,83333,81.0
Acetyl-CoA,2.3.3.16,83333,81.0
Acetyl-CoA,2.3.1.30,83334,427.0
Acetyl-CoA,2.3.3.16,107673,941.6667
Acetyl-CoA,6.2.1.13,186497,411.0
Acetyl-CoA,2.3.1.30,199310,427.0
Acetyl-CoA,2.3.3.16,224308,100.0
Acetyl-CoA,6.2.1.13,224325,95.0
Acetyl-CoA,2.3.3.1,262724,0.9666667
Acetyl-CoA,2.3.3.14,262724,1.533333
Acetyl-CoA,4.1.3.24,272943,8.6
Acetyl-CoA,2.3.1.205,330879,0.6
Acetyl-CoA,2.3.1.4,330879,38.0
Acetyl-CoA,2.3.1.57,353152,9.0
Acetyl-CoA,2.3.1.4,559292,0.2075
Acetyl-CoA,2.3.1.48,559292,1.7
Acetyl-CoA,2.3.3.1,559292,11.2
Acetyl-CoA,2.3.3.14,559292,0.6
Acetyl-CoA,2.3.3.16,1298851,250.0
Acetylcholine,3.1.1.7,10090,2500.0
Acetylcyclohexane,1.14.13.84,294,3.9
Acetylthiocholine,3.1.1.7,9606,7000.0
Acetylthiocholine,3.1.1.8,9606,833.3333
Acetylthiocholine,3.1.1.7,10090,2333.333
Acetylthiocholine,3.1.1.8,10090,666.6667
Acrylamide,3.5.1.4,208964,77.29
Acrylate,6.2.1.17,267608,1.3
Acrylate,6.2.1.36,399549,5.4
Adenine,3.5.4.2,85962,0.007833333
Adenosine,2.7.1.20,5661,1.433333
Adenosine,3.3.1.1,9606,9.8
Adenosine,3.5.4.4,9606,80.04
Adenosine,3.5.4.4,10090,250.0
Adenosine,3.5.4.4,36329,4.1
Adenosine,3.5.4.4,85962,18.35
Adenosine,3.5.4.4,243274,2.3
"Adenosine 2',5'-bisphosphate",3.1.3.7,83333,13.2
"Adenosine 3',5'-bisphosphate",3.1.3.7,83333,11.4
"Adenosine 3',5'-bisphosphate",3.1.3.97,243365,22.0
"Adenosine 3',5'-bisphosphate",3.1.3.7,272634,0.75
"Adenosine 3',5'-bisphosphate",3.1.3.7,300852,95.0
Adenosine 3'-phosphate,3.1.3.96,9606,4.71
Adenosine 3'-phosphate,3.1.3.2,83333,33.0
Adenosine 3'-phosphate,3.1.3.6,83333,9.84
Adenosine-5'-phospho-N-methylimidazolide,3.6.1.29,9606,4.2
Adenylyl-molybdopterin,2.10.1.1,3702,2.5
Adenylylsulfate,1.8.4.9,4472,56.0
Adenylylsulfate,2.7.7.4,5076,73.3
Adenylylsulfate,2.7.7.4,83333,0.6
Adriamycin,1.1.1.184,9606,0.21
Adriamycin,1.1.1.2,9606,0.000666667
Adriamycin,1.11.1.1,226185,1.2
Agarose,3.2.1.81,63186,248.0
Agarose,3.2.1.81,182262,0.46
Agmatine,2.5.1.104,186497,0.1
Agmatine,2.5.1.104,300852,0.37
Aklavinone,2.4.1.326,33899,0.003666667
Ala-Pro,3.4.13.9,57043,0.68
Alanine,2.6.1.7,7159,25.66667
Alanine,6.1.1.15,83333,1.7
Alanine,6.2.1.n2,176299,2.3
Alanine,6.2.1.n2,224911,0.14
Allantoate,3.5.3.4,3055,750.0
Allantoate,3.5.3.9,3847,37.0
Allantoate,3.5.3.9,39947,78.0
Amidorphin,3.4.23.41,559292,25.1
Amikacin,2.7.1.95,1351,2.46
Aminobutyrate,2.6.1.7,7159,5.283333
Aminobutyrate,2.6.1.7,9606,2.62
Amoxicillin,3.5.2.6,287,10.0
Amoxicillin,3.5.2.6,480,36.0
Amoxicillin,3.5.2.6,550,816.0
Amoxicillin,3.5.1.11,562,22.0
Amoxicillin,3.5.2.6,562,1200.0
Amoxicillin,3.5.2.6,571,110.0
Amoxicillin,3.5.2.6,584,50.0
Amoxicillin,3.5.2.6,588,14.0
Amoxicillin,3.5.2.6,817,140.0
Amoxicillin,3.5.2.6,83331,5.666667
Amoxicillin,3.5.2.6,83332,5.666667
Amoxicillin,3.5.2.6,247156,190.0
Amoxicillin,3.5.2.6,419947,2.0
Amoxycillin,3.5.2.6,47917,460.0
Ampicillin,3.5.2.6,287,307.0
Ampicillin,3.5.2.6,303,560.0
Ampicillin,3.5.2.6,480,33.0
Ampicillin,3.5.2.6,545,119.0
Ampicillin,3.5.2.6,550,0.36
Ampicillin,3.5.1.11,562,30.0
Ampicillin,3.5.2.6,562,1428.0
Ampicillin,3.5.2.6,573,3700.0
Ampicillin,3.5.2.6,588,18.0
Ampicillin,3.5.2.6,615,58.0
Ampicillin,3.5.2.6,817,190.0
Ampicillin,3.5.2.6,1280,412.0
Ampicillin,3.5.2.6,1396,5000.0
Ampicillin,3.5.2.6,1402,2241.0
Ampicillin,1.14.20.1,1901,0.014
Ampicillin,3.5.2.6,28450,0.54
Ampicillin,3.5.2.6,38313,8.0
Ampicillin,3.5.2.6,40324,580.0
Ampicillin,3.5.2.6,83331,11.0
Ampicillin,3.5.2.6,83332,11.0
Ampicillin,3.5.2.6,83333,3.0
Ampicillin,3.5.2.6,180434,0.065
Ampicillin,3.5.2.6,243276,6.8
Amylamine,1.4.9.1,266,17.0
Amylopectin,3.2.1.1,1590,190.0
Amylopectin,3.2.1.1,1604,1300.0
Amylose,3.2.1.1,1590,706.0
Amylose,3.2.1.1,1604,1800.0
Amylose,2.4.1.1,1721,52.0
Amylose,3.2.1.1,3914,71.8
Amylose,3.2.1.1,88233,225.0
Amylose,3.2.1.3,226186,321.0
Anandamide,3.5.1.99,3702,0.33
Angiotensin II,3.4.17.23,9606,3.5
Angiotensin II,3.4.24.18,10090,0.15
Aniline,2.1.1.49,9986,0.3666667
Anthranilate,2.1.1.277,4577,0.45
Anthranilate,2.4.2.18,273057,4.2
Anthranilate,2.4.2.18,559292,2.9
Anthraniloyl-CoA,2.3.1.232,103355,0.022
Arabinobiose,3.2.1.55,224308,32.0
Arabinotetraose,3.2.1.99,224308,1450.0
Arabinotriose,3.2.1.55,224308,88.0
Arachidonyl-CoA,3.1.2.2,9606,1.4
Arachidonyl-CoA,3.1.2.20,9606,0.022
Arg-Gly,3.4.11.1,4081,225.3833
Arg-Pro,3.4.13.9,1358,105.3575
Arginine-4-nitroanilide,3.4.22.40,1359,7.41
Asp-Leu,3.5.1.18,99287,113.0
Asp-Ser,3.5.1.18,99287,96.0
Asparagine,2.6.1.7,7159,3.833333
Asparenomycin A,3.5.2.6,644,475.0
Asparenomycin A,3.5.2.6,1396,100.0
Asparenomycin A,3.5.2.6,40324,14.0
Azlocillin,3.5.2.6,644,0.18
Azlocillin,3.5.2.6,817,120.0
Azlocillin,3.5.2.6,1396,205.0
Azlocillin,3.5.2.6,40324,75.0
Azlocillin,3.5.2.6,419947,55.0
Aztreonam,3.5.2.6,287,10.0
Aztreonam,3.5.2.6,550,707.0
Aztreonam,3.5.2.6,562,84.0
Aztreonam,3.5.2.6,573,100.0
Aztreonam,3.5.2.6,584,5.3
Aztreonam,3.5.2.6,588,9.0
Aztreonam,3.5.2.6,47917,38.0
Aztreonam,3.5.2.6,247156,13.2
Benzaldehyde,1.14.13.84,294,2.2
Benzaldehyde,4.1.2.38,294,83.33333
Benzaldehyde,1.2.99.7,879,1.35
Benzaldehyde,4.1.2.47,3981,3436.0
Benzaldehyde,1.1.1.1,9606,0.9
Benzaldehyde,1.1.1.2,9606,0.47
Benzaldehyde,1.1.1.21,9606,2.466667
Benzaldehyde,1.2.1.3,9606,5.833333
Benzaldehyde,1.2.3.1,9606,0.1066667
Benzaldehyde,1.2.1.5,10090,0.2
Benzaldehyde,1.2.1.3,10116,0.39
Benzaldehyde,1.2.1.4,29320,4.52
Benzaldehyde,4.1.2.10,32224,1700.0
Benzaldehyde,1.1.1.2,233413,7.2
Benzaldehyde,1.1.1.2,246196,32.1
Benzaldehyde,4.1.2.47,316758,26.6
Benzaldehyde,1.1.1.21,2315449,16.6
Benzene dihydrodiol,1.1.1.213,9606,0.04833333
Benzene dihydrodiol,1.1.1.50,9606,0.3166667
Benzene dihydrodiol,1.3.1.20,9606,0.145
Benzene dihydrodiol,1.1.1.209,10090,1.033333
Benzene dihydrodiol,1.1.1.213,10116,1.7
"Benzene-1,2,4-triol",1.13.11.37,2045,57.0
"Benzo[a]pyrene-7,8-diol",1.14.14.1,9606,0.0225
Benzoate,2.1.1.277,4577,0.04
Benzoate,6.2.1.33,72586,7.6
Benzoyl phosphate,3.6.1.7,7227,735.0
Benzoyl phosphate,3.6.1.7,9913,1524.0
Benzoyl phosphate,3.6.1.7,70601,467.0
Benzoyl phosphate,3.6.1.7,83333,94.0
Benzoyl phosphate,3.6.1.7,273057,850.0
Benzoyl-CoA,3.1.2.23,1667,1.86
Benzoyl-CoA,2.3.1.74,3879,0.02883333
Benzoyl-CoA,2.3.1.177,36599,0.017
Benzoyl-CoA,2.3.1.196,36903,4.6
Benzoyl-CoA,2.3.1.159,37565,0.009166667
Benzoyl-CoA,1.3.7.8,59405,1.6
Benzoyl-CoA,3.1.2.23,72586,1.0
Benzoyl-CoA,2.3.1.196,103355,0.045
Benzoyl-CoA,3.1.2.23,272558,0.068
Benzoyl-Pro-Phe-Arg-p-nitroanilide,3.4.22.51,5693,3.23
Benzydamine,1.14.13.8,9606,0.4333333
Benzyl D-glucuronate,3.1.1.117,81056,1.45
Benzyl D-glucuronate,3.1.1.117,273507,0.37
Benzyl D-glucuronate,3.1.1.117,398408,0.79
Benzyl D-glucuronate,3.1.1.117,515849,7.8
Benzyl D-glucuronate,3.1.1.117,573729,3.5
Benzyl alcohol,1.1.3.7,5323,30.0
Benzyl alcohol,1.1.1.1,9544,0.75
Benzyl alcohol,1.1.1.1,9606,9.166667
Benzyl alcohol,1.1.1.1,10116,89.66667
Benzyl alcohol,2.3.1.196,36903,4.0
Benzyl alcohol,2.3.1.224,36903,17.5
Benzyl alcohol,1.11.2.1,71721,471.0
Benzyl alcohol,1.1.1.2,83333,0.04666667
Benzyl alcohol,1.1.1.1,93934,2.516667
Benzyl alcohol,2.3.1.196,103355,0.045
Benzyl alcohol,1.1.1.1,273057,1.783333
Benzyl alcohol,1.11.2.1,1973307,367.0
Benzylacetone,1.14.13.92,83332,0.021
Benzylamine,1.4.9.1,266,162.0
Benzyloxycarbonyl-Gln-Gly,2.3.2.13,10141,1.6
Benzylpenicillin methyl ester,3.5.2.6,83333,43.0
Benzylpenicilloic acid,3.5.1.11,562,40.0
Betaine aldehyde,1.1.3.17,1665,133.0
Biapenem,3.5.2.6,644,300.0
Biapenem,3.5.2.6,40324,134.0
Bifenthrin,3.1.1.88,595605,0.44
Big endothelin-1,3.4.24.71,9606,0.0002
Bilirubin,1.3.3.5,309800,29.0
Bilirubin,1.3.3.5,525904,0.57
